M_ID,Start_date,End_date
973,2008-12-02,2026-03-24
455,1974-10-08,1988-07-09
247,1971-01-02,1982-09-13
491,2008-04-19,2021-08-19
826,2013-08-01,2024-06-08
400,2006-01-15,2020-03-04
271,2010-06-24,2029-11-03
110,2013-11-11,2022-07-31
277,2010-05-14,2017-07-23
85,1998-09-20,2018-10-29
863,2000-11-20,2008-12-13
731,1980-04-20,1986-04-18
638,2017-05-21,2023-12-15
275,1994-04-02,2004-01-16
278,1977-09-29,1987-01-10
948,2011-01-22,2016-10-11
912,1977-09-02,1979-03-18
426,2007-11-04,2025-01-06
735,1988-04-12,2002-07-22
666,1988-01-24,2007-06-21
888,2008-08-09,2010-06-12
310,1972-04-24,1982-03-12
43,1982-09-06,1995-06-11
722,1982-03-23,1997-04-13
233,1999-06-04,2015-12-24
392,1976-12-15,1978-12-15
527,1973-11-27,1981-10-16
767,1973-09-07,1976-10-14
650,1984-10-03,1991-03-16
908,2006-01-15,2024-07-28
955,1977-09-29,1992-07-18
106,2006-08-19,2013-01-07
410,2013-03-10,2032-07-12
311,2005-03-25,2019-09-24
830,2010-06-24,2026-11-19
805,1983-10-29,1987-08-30
351,2013-11-11,2026-11-21
529,1975-06-12,1983-01-10
52,2002-11-14,2022-12-23
30,2016-11-27,2029-06-20
421,2002-06-24,2014-01-04
696,1995-11-23,2000-06-04
788,2011-05-14,2013-09-11
590,2002-07-25,2010-12-12
417,2009-09-25,2023-03-16
635,1980-05-07,1987-10-18
549,1972-10-26,1989-12-22
877,2006-01-15,2020-05-08
690,2010-11-04,2015-03-27
164,1997-05-19,2008-01-13
279,1981-11-18,1989-04-20
574,2005-10-06,2021-04-11
222,1972-03-12,1989-11-27
640,2016-10-11,2027-08-11
896,2016-11-01,2021-07-18
318,1974-05-31,1987-07-12
953,2000-03-04,2016-01-28
681,2009-01-13,2020-01-22
972,2009-05-31,2023-09-25
407,1989-08-09,2007-08-14
226,1985-11-24,1994-09-21
762,2019-09-21,2025-08-19
872,2000-03-04,2014-12-07
473,1976-04-29,1994-07-05
248,2010-06-16,2020-05-12
416,2011-09-16,2025-12-19
425,2017-06-04,2019-12-09
435,1995-06-07,2009-07-05
370,1998-06-14,2016-04-26
406,1988-08-04,2007-05-20
976,2013-03-10,2014-01-06
349,2012-05-20,2017-11-27
595,1984-05-18,2000-03-15
366,1971-06-23,1975-06-04
39,1995-07-13,2009-08-11
978,1980-07-17,1982-04-29
623,1976-12-15,1985-06-12
751,2010-06-24,2016-03-14
899,1972-03-09,1982-07-14
396,1982-04-30,1996-11-26
792,2001-06-02,2014-01-08
808,2014-04-17,2033-12-04
903,2013-11-25,2017-05-01
335,1984-10-19,1996-07-15
784,1994-06-06,2008-05-24
683,2010-08-18,2026-12-26
536,2009-08-05,2014-10-28
142,2017-05-03,2022-09-08
617,1990-08-14,1993-12-07
