SH_ID,Current_Status,Sent_date,Delivery_date
835,NOT DELIVERED,1/5/1977,
315,NOT DELIVERED,11/26/1995,
553,NOT DELIVERED,7/26/1995,
861,DELIVERED,2/9/1996,9/13/1996
279,NOT DELIVERED,3/18/2016,
75,DELIVERED,5/28/2002,9/8/2002
895,NOT DELIVERED,3/15/2010,
866,DELIVERED,1/22/1995,1/1/1995
792,NOT DELIVERED,9/24/2008,
191,DELIVERED,1/3/1989,10/17/1989
59,NOT DELIVERED,4/2/1984,
748,NOT DELIVERED,5/7/1987,
693,NOT DELIVERED,1/4/1984,
955,DELIVERED,5/10/1992,12/27/1992
538,NOT DELIVERED,8/7/2009,
169,DELIVERED,3/17/2017,8/24/2017
924,DELIVERED,1/28/2015,3/20/2015
579,NOT DELIVERED,12/21/2016,
